2018-03-21 23:25:52.447939: step 0, duration = 0.051
2018-03-21 23:25:52.448014: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:25:54.177644: step 0, duration = 0.052
2018-03-21 23:25:54.177779: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:25:55.926833: step 0, duration = 0.052
2018-03-21 23:25:55.926920: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:25:57.748853: step 0, duration = 0.051
2018-03-21 23:25:57.748928: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:25:59.621425: step 0, duration = 0.053
2018-03-21 23:25:59.621502: Forward-backward across 1 steps, 0.053 +/- 0.000 sec / batch
2018-03-21 23:26:01.298952: step 0, duration = 0.051
2018-03-21 23:26:01.299092: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:26:03.015592: step 0, duration = 0.053
2018-03-21 23:26:03.015701: Forward-backward across 1 steps, 0.053 +/- 0.000 sec / batch
2018-03-21 23:26:04.708060: step 0, duration = 0.051
2018-03-21 23:26:04.708169: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:26:06.384826: step 0, duration = 0.051
2018-03-21 23:26:06.384897: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:26:08.128420: step 0, duration = 0.039
2018-03-21 23:26:08.128563: Forward-backward across 1 steps, 0.039 +/- 0.000 sec / batch
2018-03-21 23:26:09.874502: step 0, duration = 0.051
2018-03-21 23:26:09.874635: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:26:11.637196: step 0, duration = 0.051
2018-03-21 23:26:11.637270: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:26:13.420525: step 0, duration = 0.050
2018-03-21 23:26:13.420655: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:26:15.192065: step 0, duration = 0.052
2018-03-21 23:26:15.192140: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:26:16.924520: step 0, duration = 0.039
2018-03-21 23:26:16.924645: Forward-backward across 1 steps, 0.039 +/- 0.000 sec / batch
2018-03-21 23:26:18.599173: step 0, duration = 0.052
2018-03-21 23:26:18.599297: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:26:20.336055: step 0, duration = 0.051
2018-03-21 23:26:20.336174: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:26:22.062546: step 0, duration = 0.051
2018-03-21 23:26:22.062705: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:26:23.803119: step 0, duration = 0.051
2018-03-21 23:26:23.803274: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
2018-03-21 23:26:25.643007: step 0, duration = 0.052
2018-03-21 23:26:25.643163: Forward-backward across 1 steps, 0.052 +/- 0.000 sec / batch
2018-03-21 23:26:27.406279: step 0, duration = 0.050
2018-03-21 23:26:27.406351: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:26:29.084175: step 0, duration = 0.050
2018-03-21 23:26:29.084247: Forward-backward across 1 steps, 0.050 +/- 0.000 sec / batch
2018-03-21 23:26:30.735828: step 0, duration = 0.051
2018-03-21 23:26:30.735968: Forward-backward across 1 steps, 0.051 +/- 0.000 sec / batch
